Tickers,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend Est.,Dividend TTM,Dividend Ex-Date,Employees,Option/Short,Sales Surprise,SMA20,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,EPS Surprise,SMA50,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS Growth next Y,EPS next 5Y,EPS past 5Y,Sales past 5Y,EPS Y/Y TTM,Sales Y/Y TTM,EPS Q/Q,Sales Q/Q,SMA200,Insider Own,Insider Trans,Inst Own,Inst Trans,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,Payout,Earnings,Trades,Shs Outstand,Shs Float,Short Float,Short Ratio,Short Interest,52W Range,52W High,52W Low,RSI (14),Recom,Rel Volume,Avg Volume,Volume,Perf Week,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Perf YTD,Beta,ATR (14),Volatility,Target Price,Prev Close,Price,Change
UNTY,RUT,448.11M,39.72M,162.35M,28.48,-,0.52 (1.15%),0.51 (1.13%),"Sep 06, 2024",237,Yes / Yes,4.09%,7.31%,11.60,9.91,-,2.76,1.59,-,9.08,-,0.21,0.97,0.12,13.02%,20.32%,3.90,4.56,1.06,3.13%,15.15%,-,12.36%,15.32%,2.39%,13.07%,10.78%,8.51%,45.92%,37.28%,-0.35%,39.25%,-1.13%,1.53%,14.80%,12.47%,-,32.61%,24.46%,12.50%,Oct 11 BMO,,10.06M,6.26M,0.38%,1.00,0.02M,25.33 - 48.08,-6.01%,78.41%,66.95,1.00,1.42,23.73K,"33,605",-4.18%,15.28%,41.04%,67.93%,70.92%,52.72%,1.02,1.40,2.63% 3.19%,42.33,45.34,45.19,-0.33%
UONE,-,54.45M,-80.72M,452.89M,4.25,2.99,-,-,-,1398,Yes / Yes,-,-2.79%,-,-,-,0.12,0.33,0.47,3.31,2.91,2.91,3.07,3.03,-,-11.81%,-1.69,-,-,-,-,-,-57.27%,2.25%,-639.07%,-7.46%,40.80%,-6.31%,-34.17%,85.08%,-0.61%,4.98%,-7.19%,-7.49%,-33.39%,-9.79%,67.79%,15.37%,-17.82%,0.00%,Nov 07 BMO,,9.85M,7.15M,0.33%,0.49,0.02M,1.23 - 4.53,-68.86%,14.63%,44.73,1.00,0.64,48.35K,"30,847",-15.06%,0.36%,-31.88%,-41.98%,-66.35%,-65.01%,0.94,0.14,12.03% 9.22%,6.00,1.50,1.41,-6.00%
UONEK,-,49.37M,-80.72M,452.89M,4.25,2.23,-,-,-,1398,Yes / Yes,-,-11.49%,-,-,-,0.11,0.22,0.43,3.00,2.91,2.91,3.07,3.03,-,-13.81%,-1.69,-,-,-,-,-,-57.27%,2.25%,-639.07%,-7.46%,40.80%,-6.31%,-41.98%,68.06%,-0.56%,19.56%,-,-7.49%,-33.39%,-9.79%,67.79%,15.37%,-17.82%,0.00%,Nov 07 BMO,,34.12M,15.30M,0.30%,1.68,0.05M,0.97 - 4.47,-78.70%,-1.86%,36.73,1.00,0.94,26.94K,"25,231",-15.00%,-8.90%,-27.33%,-44.97%,-77.06%,-73.03%,0.58,0.07,8.89% 6.88%,6.00,1.00,0.95,-4.80%
UP,RUT,1.45B,-333.21M,833.67M,-0.17,0.17,-,-,-,2206,Yes / Yes,-,-0.50%,-,-,-,1.74,-,12.52,-,0.27,0.30,-,-,-,-3.37%,-0.50,-0.84,-,78.81%,-41.44%,-,-,27.82%,97.86%,-41.09%,97.64%,-39.42%,-15.62%,50.47%,0.00%,49.94%,10.01%,-28.11%,-2416.94%,-238.46%,-2.99%,-31.08%,-39.97%,-,Nov 07 BMO,,696.86M,345.63M,3.14%,12.02,10.86M,1.32 - 6.08,-65.63%,58.33%,49.51,1.67,0.94,903.91K,"846,988",0.97%,-6.70%,10.58%,-31.02%,49.29%,-39.07%,2.23,0.16,8.24% 7.44%,32.00,2.00,2.09,4.50%
UPB,-,1.25B,-,-,-2.99,4.19,-,-,-,35,No / Yes,33.85%,-6.89%,-,-,-,-,-,5.67,-,20.90,20.90,0.01,0.01,-0.39%,-5.34%,-,-,-0.56,-,-,-,-,96.37%,-,-,-,-,-5.34%,61.68%,9.54%,8.35%,-,-,-,-,-,-,-,-,Nov 07 BMO,,53.60M,19.67M,3.29%,1.51,0.65M,20.74 - 29.46,-19.31%,14.61%,-,1.00,0.64,428.11K,"273,554",-11.31%,-8.15%,-,-,-,8.05%,-,1.87,5.46% 6.52%,52.00,25.46,23.77,-6.64%
UPBD,RUT,1.75B,81.24M,4.26B,11.19,1.59,-,1.48 (4.53%),"Oct 01, 2024",12970,Yes / Yes,2.50%,7.56%,22.54,7.42,1.13,0.41,2.92,20.57,20.44,0.69,3.51,2.47,2.47,2.15%,7.99%,1.45,4.40,1.03,7.25%,15.49%,20.00%,-,11.06%,819.49%,7.43%,618.90%,9.17%,2.17%,11.82%,-0.48%,83.42%,9.73%,3.12%,13.44%,3.82%,31.65%,7.35%,1.91%,-,Oct 31 BMO,,54.35M,48.23M,4.92%,4.28,2.37M,26.50 - 38.72,-15.70%,23.17%,59.24,1.56,0.52,554.48K,"289,969",-2.19%,9.20%,4.05%,1.71%,12.75%,-3.92%,2.03,1.07,2.75% 3.50%,40.89,31.78,32.64,2.71%
UPC,-,3.39M,-18.55M,26.73M,110.03,7.23,-,-,"Apr 29, 2004",225,No / No,-,-45.95%,-,-,-,0.13,0.02,0.30,-,1.44,1.63,0.24,0.08,-,-66.76%,-76.44,-,-,-,-,-,-,3.21%,-65.19%,-22.33%,-1721.29%,-30.23%,-92.88%,8.80%,0.00%,2.79%,144.89%,-30.97%,-50.22%,-64.36%,27.34%,-20.27%,-69.40%,-,-,,1.58M,1.44M,1.31%,0.08,0.02M,1.80 - 64.80,-96.68%,19.44%,21.23,-,0.67,223.49K,"149,232",-41.52%,-65.51%,-95.46%,-93.85%,-84.91%,-92.87%,1.45,0.92,25.66% 14.68%,-,2.11,2.15,1.87%
UPLD,-,86.79M,-130.84M,278.94M,0.03,2.20,-,-,-,1061,Yes / Yes,-0.15%,34.02%,-,3.82,-,0.31,96.82,1.45,3.78,0.91,0.91,462.88,457.76,150.00%,32.32%,-4.52,0.84,0.20,-2.06%,-11.79%,5.00%,-60.49%,16.41%,24.07%,-8.39%,62.59%,-10.02%,22.00%,19.18%,1.56%,56.94%,-17.27%,-17.30%,-166.77%,-31.34%,52.10%,-7.90%,-46.91%,-,Nov 07 AMC,,29.91M,22.18M,0.99%,1.77,0.22M,1.79 - 5.28,-39.37%,78.77%,73.31,3.00,8.55,123.72K,"1,058,221",17.22%,36.17%,45.45%,14.70%,-29.36%,-24.35%,1.16,0.21,10.35% 7.08%,3.08,2.53,3.20,26.48%
UPS,S&P 500,116.56B,5.67B,90.52B,19.76,7.03,6.51 (4.82%),6.52 (4.82%),"Nov 18, 2024",500000,Yes / Yes,0.45%,1.04%,20.43,15.42,4.61,1.29,6.84,19.23,26.75,1.14,1.14,1.56,1.42,7.36%,1.89%,6.61,8.76,2.52,-14.91%,17.29%,4.43%,7.20%,5.15%,-33.23%,-2.47%,37.04%,5.69%,-2.75%,14.31%,0.00%,61.31%,2.11%,8.18%,31.46%,13.89%,17.75%,9.25%,6.26%,83.08%,Oct 24 BMO,,853.37M,731.25M,1.87%,3.46,13.65M,123.12 - 163.82,-17.51%,9.75%,55.49,2.28,1.02,3.95M,"4,037,383",2.67%,-0.59%,4.85%,-8.44%,-8.02%,-14.06%,0.98,2.66,2.14% 2.02%,149.77,134.07,135.13,0.79%
UPST,RUT,6.32B,-168.22M,557.88M,6.54,7.09,-,-,-,1388,Yes / Yes,8.58%,17.60%,-,156.59,-,11.33,10.43,9.63,41.44,4.26,4.26,1.75,1.74,59.13%,40.73%,-1.93,0.44,-0.04,14.49%,191.05%,77.68%,-76.37%,66.26%,37.11%,7.73%,84.30%,20.50%,108.99%,13.74%,-4.45%,55.29%,2.42%,-8.83%,-27.21%,-10.30%,95.53%,-38.65%,-30.15%,-,Nov 07 AMC,,86.33M,78.70M,28.56%,2.83,22.48M,20.60 - 86.07,-20.68%,231.41%,63.93,3.17,0.98,7.95M,"7,765,935",-11.89%,28.50%,77.88%,167.10%,181.29%,67.08%,2.03,5.63,8.11% 7.88%,48.04,68.36,68.27,-0.13%
UPWK,RUT,1.99B,85.79M,761.78M,3.08,4.55,-,-,-,800,Yes / Yes,4.43%,7.05%,24.25,12.56,-,2.62,4.91,3.32,15.89,3.18,3.18,0.90,0.89,10.27%,27.77%,0.62,1.20,0.26,97.09%,17.34%,-,-,22.39%,575.24%,14.27%,71.43%,10.27%,30.42%,9.31%,-3.45%,79.29%,1.49%,8.48%,22.75%,11.03%,76.72%,7.88%,11.26%,0.00%,Nov 06 AMC,,137.27M,121.23M,9.28%,4.90,11.25M,8.43 - 17.79,-15.06%,79.35%,66.17,1.55,0.92,2.30M,"2,122,427",-4.91%,46.84%,60.92%,30.60%,7.09%,1.61%,1.54,0.68,3.55% 4.86%,17.64,14.91,15.11,1.34%
UPXI,-,3.35M,-23.65M,81.43M,21.10,0.59,-,-,-,-,No / Yes,-,-32.74%,-,-,-,0.04,0.19,6.69,-,0.33,0.70,1.29,0.47,-,-11.31%,-23.29,-,-,-,-,-,-120.06%,-,-362.93%,4.32%,-117.80%,-40.36%,-52.84%,27.48%,0.00%,3.74%,-8.09%,-33.03%,-72.85%,-73.19%,26.62%,-9.71%,-29.04%,-,Sep 11,,1.04M,0.75M,22.23%,0.20,0.17M,2.17 - 33.00,-88.03%,82.03%,41.40,3.00,0.09,853.72K,"75,607",-21.78%,9.42%,6.13%,-57.94%,-81.19%,-82.97%,0.14,1.41,17.03% 38.02%,25.00,4.10,3.95,-3.66%
URBN,RUT,3.49B,310.01M,5.32B,24.29,6.18,-,-,-,28000,Yes / Yes,1.01%,3.92%,11.73,9.95,1.52,0.66,1.58,6.21,14.40,0.86,1.46,0.49,0.39,24.17%,4.09%,3.27,3.86,0.85,12.79%,5.32%,7.70%,2.34%,6.44%,36.74%,7.57%,12.32%,6.27%,-5.20%,37.19%,-0.09%,74.32%,3.58%,7.53%,14.73%,9.95%,33.96%,7.69%,5.83%,0.00%,Nov 26 AMC,,92.79M,57.95M,9.05%,2.96,5.24M,31.37 - 48.90,-21.47%,22.41%,57.85,2.93,0.69,1.77M,"1,225,221",-1.36%,2.84%,-4.57%,-7.38%,8.78%,7.59%,1.52,1.14,2.64% 2.81%,41.09,38.22,38.40,0.47%
URG,RUT,683.43M,-38.60M,16.49M,0.42,0.23,-,-,-,12,No / Yes,-27.68%,6.66%,-,199.40,-,41.44,3.16,5.77,-,16.21,16.78,0.01,0.01,-19.76%,9.29%,-0.13,0.01,-0.01,-5.56%,105.26%,-,-,18565.87%,-13.93%,34.78%,63.89%,11.27%,-7.13%,7.17%,-3.29%,68.45%,24.97%,-23.22%,-34.14%,-25.09%,-249.28%,-290.72%,-234.02%,-,Nov 06 AMC,,364.10M,338.00M,5.49%,4.70,18.55M,0.96 - 2.01,-33.83%,38.35%,63.98,1.00,1.40,3.95M,"5,545,146",13.68%,0.00%,26.67%,-27.72%,-17.90%,-13.64%,1.11,0.07,6.92% 5.50%,2.40,1.25,1.33,6.40%
URGN,RUT,439.56M,-115.38M,89.36M,0.60,6.30,-,-,-,201,Yes / Yes,4.13%,-9.01%,-,-,-,4.92,18.26,1.75,-,8.77,9.00,4.81,4.78,32.69%,-11.98%,-3.14,-2.66,-0.72,13.12%,13.62%,-,5.89%,13144.25%,25.65%,15.64%,18.93%,20.87%,-24.59%,9.30%,-0.20%,89.61%,79.59%,-46.56%,-,-78.26%,90.27%,-93.70%,-129.11%,-,Nov 06 BMO,,42.20M,38.27M,17.24%,11.12,6.60M,10.60 - 20.70,-46.67%,4.15%,34.64,1.29,1.20,593.52K,"711,584",-13.68%,-13.28%,-26.40%,-14.48%,-7.92%,-26.40%,1.06,0.72,6.09% 5.44%,39.93,11.19,11.04,-1.34%
URI,S&P 500,53.78B,2.56B,14.98B,130.60,7.42,6.50 (0.78%),6.52 (0.78%),"Nov 13, 2024",26300,Yes / Yes,-0.39%,-0.22%,21.76,17.77,1.81,3.59,6.38,112.29,72.39,0.77,0.82,1.68,1.50,-5.42%,2.85%,38.29,46.86,11.77,6.35%,8.16%,12.00%,21.88%,12.85%,10.88%,7.76%,3.87%,6.03%,16.86%,0.53%,-0.37%,95.34%,-2.23%,9.46%,31.40%,11.94%,37.72%,27.03%,17.13%,16.78%,Oct 23 AMC,,67.27M,65.28M,3.23%,4.53,2.11M,454.71 - 896.98,-7.14%,83.18%,50.64,2.61,1.01,465.55K,"469,617",-4.68%,-0.75%,16.29%,18.80%,75.59%,45.26%,1.67,22.35,2.07% 2.57%,847.94,836.00,832.94,-0.37%
UROY,-,473.58M,7.70M,31.50M,1.63,0.06,-,-,-,14,Yes / Yes,-,-1.79%,41.06,20.44,-,15.03,1.66,49.02,-,11.10,159.25,0.00,0.00,-,4.21%,0.07,0.13,0.01,-49.24%,350.19%,-,-,40.71%,304.73%,208.07%,-66.67%,-,9.08%,17.26%,0.00%,16.40%,4.12%,4.59%,4.61%,3.88%,31.02%,15.03%,24.45%,0.00%,Sep 12 BMO,,120.55M,100.53M,8.67%,4.88,8.71M,1.86 - 3.76,-27.93%,45.70%,51.69,1.00,1.85,1.78M,"3,291,763",1.12%,-8.75%,26.64%,-4.58%,-3.21%,0.37%,1.48,0.17,7.12% 6.12%,4.61,2.56,2.71,5.86%
USAC,-,2.73B,62.60M,929.61M,-0.92,0.00,2.10 (8.97%),2.10 (8.97%),"Oct 21, 2024",822,Yes / Yes,-0.03%,4.19%,42.17,22.06,-,2.93,-,34080.01,57.48,0.63,1.43,41.35,41.35,-36.86%,3.49%,0.55,1.06,0.24,327.36%,24.10%,-1.00%,-,8.27%,266.60%,14.59%,45.34%,10.54%,-2.03%,43.98%,-5.58%,36.41%,12.81%,3.16%,60.35%,2.40%,39.06%,31.43%,6.73%,1031.43%,Nov 05 BMO,,100.99M,65.55M,3.08%,8.42,2.02M,21.06 - 28.47,-17.81%,11.11%,62.65,3.17,0.97,240.04K,"232,714",0.60%,4.84%,7.59%,-5.76%,-8.06%,2.50%,1.26,0.50,1.94% 2.05%,24.83,22.85,23.40,2.41%
USAP,RUT,409.36M,26.65M,327.43M,27.21,0.00,-,-,-,678,Yes / Yes,3.58%,0.35%,16.22,13.35,5.15,1.25,1.62,-,21.53,1.35,4.38,0.27,0.26,8.82%,6.73%,2.72,3.30,0.92,509.43%,2.17%,3.15%,-16.16%,5.35%,1904.75%,24.80%,443.04%,22.40%,37.30%,7.86%,-3.19%,75.91%,2.92%,7.32%,11.19%,8.36%,21.62%,11.59%,8.14%,0.00%,Oct 30 BMO,,9.19M,8.58M,5.38%,2.32,0.46M,14.10 - 45.30,-2.72%,212.55%,61.99,1.00,0.54,198.58K,"107,932",0.07%,0.85%,11.18%,32.30%,201.02%,119.47%,0.93,0.76,1.05% 1.15%,46.00,43.99,44.07,0.18%
USAS,-,115.00M,-43.30M,97.10M,0.13,0.03,-,-,-,-,No / Yes,-26.49%,-8.69%,-,8.09,-,1.18,3.11,15.97,-,0.20,0.40,0.84,0.30,0.00%,6.79%,-0.18,0.05,0.00,29.90%,150.00%,-,8.10%,5.50%,-,-,-80.00%,-13.20%,41.27%,0.80%,0.00%,22.50%,38.08%,-23.30%,-83.10%,-27.00%,16.10%,-20.70%,-44.60%,0.00%,Nov 07 BMO,,262.63M,261.94M,0.46%,0.88,1.20M,0.20 - 0.54,-25.66%,102.30%,48.84,2.20,0.77,1.37M,"1,058,922",5.31%,-15.75%,49.89%,23.07%,92.57%,59.21%,1.21,0.04,10.32% 9.75%,-,0.40,0.40,1.99%
USAU,-,95.07M,-8.33M,0.00M,1.23,0.28,-,-,"Feb 27, 2008",4,Yes / Yes,-,23.73%,-,-,-,-,6.36,28.13,-,7.21,7.21,0.00,0.00,33.33%,30.13%,-0.83,-,-,-27.03%,-,-,29.90%,0.00%,15.72%,-,-29.42%,-,52.98%,14.46%,0.19%,13.50%,-13.41%,-39.31%,-56.83%,-63.31%,-,0.00%,-,-,Jul 03,,10.73M,9.21M,0.63%,0.62,0.06M,3.12 - 7.13,9.31%,149.68%,74.26,1.00,5.33,94.33K,"502,349",35.01%,20.03%,43.20%,27.50%,138.96%,83.29%,1.46,0.41,8.28% 5.47%,11.00,7.07,7.79,10.18%
USB,S&P 500,78.31B,5.09B,41.59B,33.35,-,1.98 (3.91%),1.97 (3.89%),"Sep 30, 2024",75465,Yes / Yes,1.20%,2.86%,15.50,11.77,3.09,1.88,1.52,-,55.90,-,0.73,1.33,0.93,4.16%,7.46%,3.27,4.30,1.04,17.54%,11.83%,5.01%,-4.60%,11.37%,-2.65%,8.99%,12.51%,-0.62%,16.99%,0.21%,-1.52%,79.21%,0.31%,0.80%,9.74%,4.48%,-,16.83%,12.25%,58.96%,Oct 16 BMO,,1.56B,1.56B,1.18%,2.30,18.39M,36.49 - 51.76,-2.22%,38.68%,59.11,2.29,0.83,8.00M,"6,641,928",-0.84%,2.95%,15.71%,23.77%,35.61%,16.94%,1.04,1.15,1.88% 1.96%,53.82,49.90,50.61,1.42%
USCB,RUT,376.88M,20.49M,135.48M,10.90,-,0.20 (1.03%),0.20 (1.03%),"Nov 15, 2024",196,No / Yes,3.85%,12.56%,18.61,12.63,-,2.78,1.77,-,12.20,-,0.03,0.59,0.59,13.64%,22.63%,1.04,1.53,0.36,52.11%,21.19%,-,-,23.35%,13.06%,35.37%,80.02%,29.63%,45.82%,49.45%,0.15%,37.75%,6.34%,0.86%,10.33%,6.01%,-,19.84%,15.12%,0.00%,Oct 31 AMC,,19.58M,10.03M,0.44%,1.77,0.04M,10.25 - 21.86,-11.57%,88.59%,67.65,1.80,3.56,24.98K,"89,061",-5.25%,29.43%,35.84%,57.41%,65.21%,57.80%,0.47,0.83,3.74% 4.02%,18.75,19.85,19.33,-2.62%
USEA,-,18.68M,7.23M,46.28M,7.12,0.85,-,0.30 (13.95%),"Sep 27, 2024",4,No / Yes,2.48%,-4.78%,2.88,-,-,0.40,0.30,2.53,-,0.46,0.47,1.41,0.66,-47.06%,-11.64%,0.75,-,0.20,-,-,-,-,76.40%,-,-,120.25%,24.29%,-16.17%,7.41%,0.00%,2.94%,16.24%,4.45%,11.73%,6.80%,22.06%,8.01%,15.63%,1986.75%,Aug 06 BMO,,8.69M,8.19M,7.08%,13.17,0.58M,2.05 - 3.00,-28.33%,4.88%,37.45,1.00,0.33,44.05K,"14,402",1.90%,-12.24%,-14.68%,-20.07%,-2.93%,-12.96%,0.52,0.09,4.11% 4.05%,6.00,2.10,2.15,2.38%
USEG,-,53.71M,-33.56M,23.72M,1.27,0.04,-,-,"May 18, 2023",41,No / Yes,-8.98%,23.47%,-,-,-,2.26,1.44,42.62,27.68,0.31,0.31,0.02,0.01,-50.09%,41.91%,-1.31,-0.19,-0.06,68.67%,53.74%,25.00%,-3.77%,136.31%,-131.68%,-32.93%,76.82%,-43.29%,63.86%,77.67%,0.04%,2.29%,-12.38%,-38.98%,-65.87%,-92.72%,0.31%,-36.54%,-141.51%,-,Nov 12 BMO,,25.33M,6.24M,0.69%,0.37,0.04M,0.81 - 1.73,6.36%,127.16%,72.96,1.00,3.49,115.83K,"403,888",25.17%,26.90%,96.43%,63.99%,58.62%,83.98%,0.53,0.11,9.62% 6.64%,2.50,1.67,1.84,10.18%
USFD,-,14.92B,575.00M,37.32B,19.57,0.35,-,-,-,30000,Yes / Yes,0.08%,2.63%,28.08,17.20,1.40,0.40,3.34,184.26,20.50,0.72,1.19,1.08,1.01,2.37%,5.11%,2.33,3.80,0.80,18.47%,21.99%,20.00%,1.33%,8.88%,27.12%,6.10%,59.00%,6.83%,18.42%,0.65%,-0.67%,98.56%,1.06%,4.30%,12.37%,6.20%,17.30%,3.16%,1.54%,0.00%,Nov 07 BMO,,245.20M,231.43M,1.58%,2.01,3.66M,42.19 - 68.00,-3.87%,54.94%,59.71,1.47,0.93,1.82M,"1,693,410",-3.14%,4.88%,14.02%,19.64%,54.32%,43.96%,1.67,1.30,1.79% 1.93%,74.71,64.67,65.37,1.08%
USGO,-,125.38M,-10.53M,0.00M,0.44,0.37,-,-,-,6,No / Yes,-,9.96%,-,-,-,-,23.84,27.92,-,7.88,7.94,0.02,0.02,-17.14%,20.12%,-0.85,-,-,-,-,-,-,0.00%,-,-,-78.46%,-,59.00%,85.84%,0.00%,4.19%,1.31%,-91.40%,-99.06%,-191.58%,-,0.00%,-,-,-,,12.40M,1.76M,1.21%,0.40,0.02M,5.00 - 14.46,-28.22%,107.60%,57.91,1.00,6.27,53.93K,"338,202",2.37%,-1.14%,99.62%,97.50%,75.93%,42.09%,2.10,1.18,18.56% 11.17%,24.00,8.25,10.38,25.82%
USIO,-,39.48M,2.70M,81.09M,0.70,0.31,-,-,-,126,Yes / Yes,-0.86%,3.55%,14.89,15.89,-,0.49,2.11,4.71,-,1.10,1.10,0.20,0.17,700.00%,3.90%,0.10,0.09,-0.00,575.00%,-2.63%,-,40.30%,30.03%,406.50%,-1.04%,390.81%,3.90%,-4.01%,36.49%,0.03%,29.91%,54.85%,2.20%,15.98%,12.25%,19.93%,-2.82%,3.33%,-,Nov 06 AMC,,26.33M,17.23M,0.09%,0.35,0.02M,1.30 - 2.00,-26.50%,13.33%,56.90,1.40,0.97,43.06K,"41,886",-0.68%,4.26%,-1.34%,-13.02%,-13.53%,-14.53%,1.73,0.05,2.26% 3.27%,6.25,1.49,1.47,-1.01%
USLM,RUT,4.10B,98.85M,303.35M,16.58,8.91,-,0.24 (0.17%),"Nov 22, 2024",333,Yes / Yes,-,16.76%,41.51,-,-,13.51,8.63,16.07,48.27,16.62,18.10,0.01,0.01,-,35.67%,3.45,-,-,-,-,-,30.04%,14.56%,44.03%,10.74%,59.92%,19.43%,86.74%,63.24%,-0.12%,27.55%,-6.80%,20.90%,23.21%,20.69%,43.48%,37.19%,32.59%,6.12%,-,,28.52M,10.51M,1.44%,2.22,0.15M,40.66 - 146.70,-2.43%,252.02%,78.62,-,0.98,67.98K,"66,898",0.59%,37.97%,84.67%,97.11%,248.51%,210.70%,0.83,5.38,4.17% 4.23%,-,141.21,143.14,1.37%
USM,-,5.30B,-30.00M,3.80B,53.28,3.35,-,-,"Jun 07, 2013",4300,Yes / Yes,-1.96%,-0.09%,-,63.25,-,1.39,1.16,18.39,14.92,1.39,1.57,0.84,0.81,-866.67%,5.18%,-0.36,0.97,-0.03,-92.86%,2066.67%,3.00%,-18.48%,-0.26%,-325.31%,-3.94%,-443.53%,-4.26%,26.36%,82.74%,-0.05%,16.79%,-1.13%,-0.28%,-0.65%,-0.36%,37.22%,4.63%,-0.79%,0.00%,Nov 01 BMO,,52.00M,14.84M,3.64%,3.31,0.54M,32.01 - 68.31,-9.72%,92.66%,52.51,1.60,0.66,163.39K,"108,401",-5.95%,-2.03%,18.30%,38.58%,38.68%,48.46%,0.48,2.32,3.09% 3.65%,81.33,61.54,61.67,0.21%
USNA,RUT,767.69M,54.34M,861.97M,27.97,18.72,-,-,-,1800,Yes / Yes,-2.81%,2.14%,13.93,15.85,1.16,0.89,1.41,2.10,11.70,3.37,3.93,0.00,0.00,15.46%,4.48%,2.83,2.48,0.49,-25.76%,1.43%,12.00%,-8.43%,-4.58%,-8.45%,-7.10%,-5.11%,-6.16%,-9.39%,41.77%,-0.38%,56.21%,0.57%,8.54%,10.83%,10.19%,79.30%,9.55%,6.30%,0.00%,Oct 22 AMC,,19.13M,11.10M,4.65%,6.16,0.52M,34.15 - 54.81,-28.15%,15.31%,53.84,3.00,0.85,83.81K,"70,893",-4.63%,9.85%,0.46%,-19.04%,-14.02%,-26.53%,0.90,1.18,2.86% 3.04%,46.50,40.34,39.38,-2.38%
USPH,RUT,1.35B,14.10M,645.70M,32.02,7.76,-,1.76 (1.96%),"Nov 15, 2024",6720,Yes / Yes,2.26%,3.58%,96.21,31.26,10.69,2.10,2.81,11.58,18.20,1.78,1.78,0.53,0.43,0.88%,6.67%,0.93,2.88,0.68,3.39%,8.72%,9.00%,-0.50%,6.41%,-45.37%,9.22%,-23.85%,12.02%,-4.99%,1.63%,-5.26%,102.73%,-4.51%,1.38%,2.89%,2.04%,17.26%,10.11%,2.18%,134.52%,Nov 05 AMC,,14.99M,14.85M,4.03%,5.56,0.60M,76.18 - 113.63,-20.85%,18.07%,57.17,1.67,1.07,107.46K,"115,486",-4.94%,6.12%,9.98%,-14.67%,5.35%,-3.44%,1.43,2.81,2.60% 3.01%,107.40,90.00,89.94,-0.07%
UTHR,-,15.08B,1.11B,2.76B,136.74,79.23,-,-,-,1168,Yes / Yes,3.64%,-4.39%,15.78,12.37,1.10,5.47,2.63,4.53,16.79,4.41,4.58,0.07,0.00,-2.04%,-1.08%,22.77,29.04,6.59,22.72%,19.44%,14.32%,8.15%,8.02%,25.97%,25.04%,18.61%,22.89%,19.96%,1.80%,-37.76%,99.12%,1.46%,15.71%,18.81%,18.21%,88.94%,46.42%,40.31%,0.00%,Oct 30 BMO,,47.04M,43.84M,5.25%,5.84,2.30M,208.62 - 417.82,-14.03%,72.18%,41.00,2.06,0.92,394.10K,"363,587",-10.30%,-2.50%,3.55%,30.78%,58.50%,63.36%,0.56,11.55,3.52% 3.15%,395.83,363.25,359.21,-1.11%
UTI,RUT,1.06B,22.61M,706.63M,4.45,2.21,-,-,"Mar 17, 2016",3000,Yes / Yes,2.65%,8.84%,39.16,21.05,2.61,1.50,4.42,8.92,22.33,1.02,1.02,1.31,1.20,38.46%,16.36%,0.50,0.94,0.30,444.87%,32.00%,15.00%,-,18.04%,1076.20%,29.01%,274.42%,15.77%,22.57%,7.04%,-1.92%,87.15%,1.18%,3.54%,10.87%,4.29%,46.41%,6.20%,3.20%,0.00%,Nov 20 AMC,,53.81M,50.03M,3.72%,5.89,1.86M,9.98 - 20.73,-5.07%,97.19%,66.52,1.00,0.83,315.59K,"263,363",-4.56%,21.11%,17.77%,34.61%,74.93%,57.19%,1.37,0.60,2.60% 3.08%,21.67,19.61,19.68,0.36%
UTL,RUT,949.95M,47.00M,496.90M,31.04,0.39,-,1.70 (2.91%),"Nov 14, 2024",531,Yes / Yes,-19.83%,-0.10%,20.03,18.92,3.23,1.91,1.88,150.79,-,0.82,0.91,1.41,1.27,-75.99%,-1.26%,2.92,3.09,0.95,3.31%,6.06%,6.20%,4.82%,5.04%,5.75%,-15.64%,-100.00%,-10.59%,6.73%,2.27%,0.00%,79.17%,0.65%,2.80%,9.57%,4.12%,24.27%,18.23%,9.46%,57.53%,Nov 04 AMC,,16.12M,15.82M,1.20%,3.16,0.19M,45.26 - 63.52,-7.98%,29.14%,48.43,2.33,1.53,59.86K,"91,418",-3.02%,-2.73%,-0.26%,7.86%,18.95%,11.19%,0.60,1.67,2.31% 2.61%,58.00,59.15,58.45,-1.18%
UTMD,RUT,222.57M,15.26M,44.08M,36.09,26.26,-,1.20 (1.82%),"Dec 16, 2024",197,No / Yes,-,0.76%,15.45,-,-,5.05,1.83,2.52,13.16,26.94,29.59,0.00,0.00,-,0.09%,4.28,-,-,-,-,-,-1.57%,4.11%,-8.22%,-14.35%,-5.26%,-19.99%,-3.00%,6.72%,0.00%,71.34%,-0.73%,11.69%,12.31%,12.26%,53.32%,33.14%,34.62%,25.91%,-,,3.63M,3.16M,1.80%,2.79,0.06M,63.38 - 87.21,-24.22%,4.28%,50.04,1.00,1.06,20.38K,"21,527",-3.55%,-0.32%,-1.61%,-4.05%,-22.20%,-21.53%,0.08,1.28,2.08% 1.71%,65.23,66.05,66.09,0.06%
